 Don Grisley ,"  Don Grisley   
Las Vegas, Nevada USA ",http://activerain.com/profile/dongrisley, 1-888-480-2432,," Don Grisley is a complete con artist.  He acts the part of a savy businessperson, but the reality is he will lie, cheat and steal behind your back.  Several of us used to work for Grisley and he withheld income taxes and insurance from our payroll checks.  When one of us had to go to the hospital one day, the Hospital told us the insurance had been cancelled for non-payment.  Come to find out Grisley had just withheld monies from our payroll and pocketed the funds.  Don't ever work for Grisley if you want to keep your money! Then he was sued by his partners after they were complaining of Grisley defrauding them and stealing hundreds of thousands of dollars from them.  They got a $1.5M judgment against his company Sussex for securities fraud. Come to find out Grisley was acting as a front man and partner with convicted felon, David Hampton Tedder, who was arrested by the FBI and convicted of money laundering and conspiracy, and was prohibited from being in the investment business. Grisley was then shut down by the State of Nevada after they found out Tedder's other lackey Barry Fulco has transferred the business to Grisley illegally in an attempt to conceal its ownership and hide funds: http://www.mld.nv.gov/Orders/2010/2010-06-14_SussexGroupInc-NoticeOfIntentToRevokeEscrowAgencyLicense.pdf Before his partners could collect from him personally, he declared bankruptcy and sold or hid all his assets.  He represented to the court he had ZERO income and his bank statements showed over $2,000,000 in deposits still unaccounted for. Grisley has since had many people after him for money owed from various schemes.  He will even present falsified documents to court and partner with criminals.  His bank account statements prove his theft and several people have seen them. Beware in dealing with this fraudster.  He will do ANYTHING to make a buck at your expense. ",  Mortgage Companies ,0
 Vanderbilt Mortgage ,"  Vanderbilt Mortgage  500 Alcoa Tail 
Maryville, Tennessee USA ",, 1-888-480-2432 ,," They treat you like you are trash!  Have an insurance check for wind damage for the roof of my home to have roof replaced and asked if they would just send contractor the amount of the check and no, they want to send half and when it is done,the rest, what contractor is going to replace a roof on a maybe get paid!!  And would take 2 weeks for the account to be set up to even get the first half and in the mean time, it is raining and leaking into my house!!  So glad when I have them paid off, has been 12 years of pure hell trying to deal with them!! ",  Mortgage Companies ,0
 select portfolio servicing ,"  select portfolio servicing  Box 65250 
Salt Lake City, Utah USA ",https://www.spservicing.com/, 1-888-840-2432,, I took out a mortgage with Equicredit in 2000.  It was then in the hands of Fairbanks and I paid off the mortgage finally in 2010.  I then found out it is now Select Portfolio Servicing.  I just went to check my title at my town hall and they never filed a release of mortgage!  I have made so many calls and sent so many letters and still no release of mortgage.  No one can find anything!  I was told that the two prior mortgage holders show no record of any payments and they have no idea who I am! I am trying to sell my house and now forget it!  What am I suppose to do?  This company is sick!  I thought Equicredit was bad and then Fairbanks was a nightmare and now SPS is almost a scary joke.  What am I going to do????  Any advice would be greatly appreciated.  I do not have any old checks earlier than 2008.  This is frightening. ,  Mortgage Companies ,0
 Nationstar Mortgage ,"  Nationstar Mortgage  350 Highland Dr  
Lewisville, Texas USA ",www.nationstarmtg.com, 1.800.763.6798,," My home mortgage was sold by Bank of America (BOA) to Nationstar Mortgage.  i was in the midst of a loan modification process.  When I got to Nationstar, I was back at square one.  All of my paperwork submitted to BOA was useless.  So, I began the process again of a loan modification.  It took months to discover that I was ineligible for tradtional loan modifications through the Making Homes Affordable act.  So they told me that I would be submitted for an ""in house"" modification.  I waited for months for them to get back to me.  I called them every week but there was no news for weeks and weeks.  Finally, about 6 weeks ago, they told me that my modificaiton had been approved and that would need to make a significant down payment in order to start the modification.  I sent them the money, sent the notarized documents, and waited.   I called after  2 weeks because my loan did not show as current.  They said it would take a few weeks to finalize or ""book"" the modification.  I called every week.   At one point in the process my customer representative told me that they had to make minor adjustments after looking at a final version of all my financials (nothing changed from the initial application).  He told me that they would send out documents again and that I would have to notorize them and re-submit them again.  I received the documents and notorized them.  I noticed that the new documents said that I would pay a down payment that was similar or exactly the amount I had already paid.  I asked my customer representative and he assured me that the number was a reflection of the payment I had already submitted.  Now, several weeks later, I received the news today from that same representative that the company wants another down payment and that my not submitting the payment has been ""holding up"" the modification.   I have no money left to give them for a down payment! I just want to start my trial payments in April and I want my loan brought up to date on my credit report and on their computers.  I don't know what to do.  My customer rep. told me that he was sending the modification back to the modification department and asking them to reconfigure it without the down payment figured in.  Even he admitted that he had never seen this situation before.  I am sickened by this new development.  Just when I had expected news that everything was ""booked"", I get the news that we are at square one again!  Nationstar is messed up! ",  Mortgage Companies ,0
 OCWEN Mortgage ,"  OCWEN Mortgage  6716 Grade Lane, Building 9, Suite 910 
Louiseville , Kentucky USA ",ocwen.mortgagebanksite.com, 1.888.634.0808,," I was one of those unfortunate GMAC mortgage customers who got thrust into the hands of the most incompetent mortgage companies I've ever dealt with. I've owned 3 homes at different times and own a condo, and over a period of 16 years I've had different mortgage companies service my mortgage. OCWEN is the absolute worst.   When I was initially turned over to OCWEN, I had just paid my GMAC mortgage. THEN I received an OCWEN letter letting me know of the change, and proceeded to slap a late charge on my payment -- though it was supposed to be honored, given the transition from GMAC to OCWEN.  Later, I signed up for a Bi-Saver program and things went well for a month. The second month, they tried to slap a late fee on the second automatic withdrawal. It's automatic! How do I incurr a late fee? Apparently, it's a Bi-Saver program that still requires you to pay the total mortgage payment within 10 days! Who would know? I picked two dates from a calendar on their website - first payment on the first Monday and second payment on the third Monday. If those weren't acceptable, then why allow me to sign up for the program that way? Furthermore, they participate in deceptive advertising by sending you small checks to get you to join needless insurance programs -- and good luck cancelling. It took me numerous calls, and getting bounced from one department to the next to get cancelled.   The customer service is horrible. The reps apparently are all from India and it's impossible to understand them.   It's an ongoing nightmare to be forced to do business with OCWEN. If I could fire them, I would!   ",  Mortgage Companies ,0
 Green Tree Servicing LLC ,"  Green Tree Servicing LLC   
Rapid City, South Dakota USA ",www.gtservicing.com, 1800 643 0202,," Green Tree Servicing LLC is the most frustrating mortgage company to deal with.  They have made numerous errors on my account!!  They have the worst customer service agents and indicated to me they have no supervisors to talk to.  I have been dealing with an issue that occured back April 2013 and have yet to get the problem resolved.  It started when I changed insurance companies and notified both Green Tree and the insurance company of the cancellation and notified Green Tree of my new insurance company.  Green Tree went ahead and paid for both insurance policies out of my escrow account which shorted my escrow and they had me pay an additional $500 for my escrow.  My previous insurance company sent the check back and then discovered later that Green Tree did owe them the money.  I have spent hours on the phone with my previous insurance company and the mortgage company before the mortgage company agreed they had been overpaid (which a representative told me that the insurance company did not deserve their money back).  I told Green Tree the previous nsurance company was threatening to sue me for it.  I finally got this problem resolved and asked Green Tree to run a mortgage analysis.  When I received the escrow analysis I saw it was not correct and Green Tree showed my previous insurance company being paid twice out of my escrow in one year and said I overpaid and they were sending me a refund check of $450.33 I called to inform Green Tree the analysis was wrong and they knew immediately it was wrong and said there would be another analysis sent. The second escrow analysis shows a shortage of -$347.14 which results in my mortgage payment being increased my monthly house payments of over $33 more, which I told them I did not cash the check because I knew it was wrong. I have called twice to request a third analysis be done and informed them this is not acceptable and I am very upset with what they are doing with my money.  Green Tree informed me that they were sorry the other person didn't request the report. Last Friday I requested again for this escrow analysis and I was told I would still need to pay the monthly increase until they get the new analysis.  I have asked to speak with a supervisor  was told there is none.  I never talk to the same person.  Can someone out there help me with this?  These people do not have competent people working for them! This is the worst company I have ever dealt with and feel this is outrageous of all the errors and the problem has not been resolved and it has almost been a year!    ",  Mortgage Companies ,0
 Wells Fargo mortgage ,"  Wells Fargo mortgage   
San Francisco, California USA ",https://www.wellsfargo.com/about/corporate/, 1800-226-6308,," I am seeking other consumers who had this happen to them, to perhaps file a lawsuit against Wells Fargo together.  I owned a 4 unit and a 2 unit property on one lot, and  used a  commercial loan with wells fargo to purchase the property. I made auto payment from my account for 8 yeras without being late once.  When values went up, I requested in 2008 ( fater 8 years of owning the proeprty), wells fargo to transfer the commercial loan to the residential fourplex only, after the lot split. We this ended up with a fourplex on one lot and a duplex on another lot. Wells fargo agreed to it if we paid down the loan with 50,000, which we did. The fourplex was cash flow positive evey month (net) @ 1900 per monht. In 2010, Wells fargo calld the loan. They were not willing to extend to loan ( a one yar ARM), and forced me to sell the property for much less than market vlaue for two reasons: 1. I had to sell before they filed an NOD on my record, and it was a forced sale to be closed in less than 25 dyas.   Wells Fargo should not have been allowed to call the loan as it was a residnetial property, and not a commecial proeprty anymore as they accpetd the transfer. Who can help me? A ",  Mortgage Companies ,0
 HSBC ,"  HSBC  452 Fifth Avenue, New York 
new york, New York USA ",http://www.us.hsbc.com/, 1800-737-1192,," I am ready to file a lawsuit against HSBC. They refused to accept an short sale offer for $360,000, but in stead pushed for foreclosure at $330,000. This influenced my taxes as I now had to pay on an extra (virtual) income of $330,000 (minus the base), which lead to an extra tax payment to the IRS of about $18,000, and a foreclosure on my record rahter than a short sale. I am looking for similar scenrios with other consumers or am looking for a lawyer who would hep me with the lawsuit. A   ",  Mortgage Companies ,0
 Nationstar Mortgage LLC ,"  Nationstar Mortgage LLC  350 Highland Drive 
 Lewisville, Texas USA ",https://www.nationstarmtg.com, 1800-746-2936,," I have a mortgage that was sold to Nationstar Mortgage from Bank of America.  I setup a bi-monthly payment to Nationstar in order to have save on interest over the life of the loan. Payments go through on the 1st-3rd of every month, and the 14th. Nationstar has been holding my first payment, and not applying it to my monthly payment until they receive the 2nd half, which defeats the purpose of paying in this manner. They call this a ""Suspense Account"". This is where they hold your funds until all the funds are gathered. In the same type of transaction, anything that is paid over the amount is put towards the same ""Suspense Account"". An example of this is when one of those payments went through on the 28th, instead of the 1st-3rd. They held that payment in the ""Suspense Account"" instead of applying it to the following month's payment, or towards the principal...they just hold it, and the interest accrues. This is a very shady practice, and may be illegal? When you go to try to fix this, you must wait extrodinarily long wait times (read 15minutes+ for customer service, but you never start there, you start in collections due to ""non payment"" because your money is in a suspense account instead of being applied to your balance).   I hope to get this cleared up. ",  Mortgage Companies ,0
" Ocwen Loan Servicing, LLC ","  Ocwen Loan Servicing, LLC  4828 Loop Central Drive 
Houston, Texas USA ",, 1800-746-2936,," We have made all our payments in 2013, without a hitch. then we recived notice that our payment was going to go up by almost $2000.00 per month. When we questioned it they sent back an email saying they had made a mistake and that it was going to go up only a $1000.00. they claimed it was becuse they were  escrowing our insurance. They have never ESCROWED OUR INSURANCE. So we spent hours getting in touch with there insurance department and got in touch with someone that barley spoke english. At that point we explained our situation which took over 20 minutes. He agreed that it was wrong and that he had proof of insurance and that there was no need to have it escrowed. However it was not his place to deal with it he would have to transfer us to a customer service Rep. As soon as he transfered us we were cut off. After another hour of trying to get a hold of someone in the customer service department it finally happened. The told us we would need to talk to the insurance department. They transfered us and we got cut off. ",  Mortgage Companies ,0
 OCWEN ,"  OCWEN  12650 INGENUITY DRIVE 
ORLANDO, Florida USA ",http://www.ocwen.com/, 1800-848-9136,, Ocwen has done many things they shouldn't have. One of their representatives visited my property and spoke with my tenants. The repsentative said many house around there were going into forclosure and they should find another place to live. My property wasn't even close to being in forclosrue but my tenant's got sacred and vacated the property and broke the lease. This caused me to lose out on the income from another year's lease. Ocwen has also begun a loan modification that I was completely unaware of and didn't approve. My invoices also reflect forbearance payments and a balance that I know nothing about. I have requested to receive copies of the loan documents but haven't received anything but a generic letter saying they'll respond in 20 days. Which they have failed to do twice.  Ocwen has modified my loan payment without my written authorization and they have my fixed iinterest loan interest rate scheduled to increase by 1% in October 2014 and another .0625% by October 2015. This would inscrease my monthly payment by $ 181.00 compared to what I paid in 2009. How can a loan servicing company change the interest rate charged on a mortgage without my written permission? This company is insane! I think they need to be sued but I don't know where to start. I hope this report gives me a direction. ,  Mortgage Companies ,0
" Secure One Capital, Jim Pate, Ryan Marier, Driving Force Media, barred from mortage & real estate activities by the FTC ","  Secure One Capital, Jim Pate, Ryan Marier, Driving Force Media, barred from mortage & real estate activities by the FTC  5000 Birch Street, Suite 150 Newport Beach CA 9266 
Newport Beach, California USA ",, 18002068540,,"  Jim Pate, Ryan Marier, Michelle Lefaoseu, Barry Gabster, Matt Pate, Tazwell Randall, Denny Lake, Baron Morledge, Mike Stewart, Anthony Gutierrez. These guys made me lose my home when they were with Mesa Law Group in 2009. I tried to refinance with my new wife a few days ago and called Secure One Capital to get a loan for her. They guy there was Matt Pate, one of the sales guys I had spoken to at Mesa Law Group. He didn't realize who I was at first, but I knew who he was! I casually asked him if his brother Jim still worked there too, and he said yes! Then he must have known he shouldn't have said that because he said ""no he does not he just does marketing for us"" but too late I knew these guys were back in business. I told him I want my $4000 back from him & his brother from when I paid them to save my house and he said I have the wrong company & hung up on me! I called back 3 times and he would not answer!  I have done my homework on these guys, they are bad news. After Mesa Law Group shut down they statrted Kassas Law Group. Then the Attorney General shut them down and they were barred from doing any type of real estate or mortgage business INCLUDING MARKETING! They are still doing it. Ryan Marier is running Driving Force Media doing mortgage marketing. If you use his company to do your marketing and it gets traced back to you, you could get audited and have a big problem. I have spent alot of time looking into these people and they are now running Secure One Capital. The license is under a different person, but they are in charge. Once you start looking you will see the same names in the blogs they put up that are in the complaints against Mesa Law Group and Kassas Law Group. The attorney Anthony Kassass was disbarred and was in the paper for using racial slurs against an asian politician. What a classy group of guys. I think these guys are probably too slippery and too smart to be stopped, but at least now you know who you are dealing with.  If anybody reading this lost money to Mesa Law Group, Kassas Law Group or any of their other operations you can still sue Jim Pate & Ryan Marier to get your money back. They will be forced by the court to pay restitution to you because what they did was illegal, they were even raided and shut down by the Attorney General's office. There is an article about it in in the OC Weekly because they shared the same building with Kassas & Jim Pate & Ryan Marier when they got raided and all their stuff got hauled away by the Sherriff's Dept. THEY ARE CROOKS! ",  Mortgage Companies ,0
 HSBC beneficial ,"  HSBC beneficial  P.O. Box 1231 
Brandon, Florida USA ",, 18002588602,, Beneficial was bought out by HSBC several years ago and no notice to its mortgage holders but a week after it happened. We paid our mortgage two months ahead last year and were told that next payment was due in June. When ready to pay them noticed payment increase and we have a fixed percentage rate. Conversation with the company they said we owed more in escgrow. After research with town and mortgage company( several months) we were told that HSBC moved some payments to the end of our mortgage and that was why the amount went up 200 dollars more a month. I am not sure how this could possibly be legal without us recieving any information on the change. Let alone our approval.   ,  Mortgage Companies ,0
 WELL FARGO HOME MORTGAGE ,"  WELL FARGO HOME MORTGAGE  200 Colonial Center Parkway Suite 140 
Lake Mary, Florida USA ",www.wellsfargo.com/mortgage, 18002837918,," Open Letter to WELLS FARGO for sending my loan for DENIAL 5 months into the process, and 3 days before closing. This is no way to treat a Veteran. Thank you Wells Fargo, for ruining my life.  On Monday February 17, 2014 you told me I would be closing on Friday on my Wells Fargo Home Renovation Loan.  It was a blessing in disguise; I made it all the way through the lengthy process.  I called my mother, ""mom, I am going to be closing on my birthday February 21, 2014.""  I have been looking forward to this day, long before you qualified me and gave me my Well Fargo Loan Commitment paper in September 2013 in my hand.  I found a Fannie Mae foreclosure listed on the Homepath Website, a portal designed for first time home buyers like myself.  Since I already had 3 bank accounts with Wells Fargo, I figured why not place my loan with a bank that I have been with since 1993.  I gave you everything you asked me for and cleared every condition one by one.  On Tuesday February 18, 2014 you repeatedly asked me why did I have a judgment on my credit from 2003, even though I gave you and your underwriter proof 3 times that the judgment has been paid with a copy of the satisfaction letter from the creditor with the stamp on it from the high court in Trenton, New Jersey proving it was cleared since 2012.  After the persistent badgering, I figured why not just be honest and tell you the truth of what really happened so we can get on with the process.  I know it may have been odd to have a 745 FICO score, and have this on my credit.  I told you, ""the judgment may have only been removed from one or two of the credit bureaus and not all 3.  After graduating from college and after losing my job on Wall Street in January of 2002 during the crisis, I went to federal jail for a period of time.  So, my bill went unpaid and that's the reason why I received a judgment on my credit from the debt collector company that assumed the debt"".  You apologized for making me have to tell you this, but I figured you are just doing your job. On Wednesday February 19, 2014 you called me to tell me that the File is being submitted for DENIAL. Really...???  5 months into the process making it 3 days from achieving the American Dream and you are canceling my loan just like that.  You add in that my American Express account went up 5% so unfortunately I do not qualify any longer because my debt ratio is now too high.  Most people's credit cards go up a little bit after the holidays; I have a child, family and a girlfriend.  You wait this long into the process to tell me this? I did everything you asked for.  I paid $1,500 to the title company; I gave you $600 for an appraisal. I got inspections totaling over $500.  I got an insurance policy totaling $1,500.  I did every single thing you asked for and to just cancel my loan in the blink of an eye is unfair to me and my family.  I have never been late on my rental history.  I have never been late on any credit cards.  I make $45,000/year, I know that I do not make a lot of money now, but are you telling me I do not qualify for a $100,000 house?  I have over $10,000 in your Wells Fargo bank accounts alone.  I know I am only 1 person in the millions of customers you have, but why didn't you offer me options or give me an alternative solution? I haven't heard back from you, because I guess you're just onto the next. My only assumption is that I have a conviction on my record and I told you about it.  Being pragmatic, I thought I paid my debt to society and I could move on with my life.  I am just living my life as an ordinary Joe, all I was trying to do was get to the next level in life.  Instead of being a proud homeowner today on my birthday, I am waking up again at 5:30am to this pounding migraine headache that I have ever since you crushed my world.  I want you to know that I am truly saddened and I feel devastated and I have held off crying until now.  I am grown man, but I am truly crying as I end this letter to you. Thank you ",  Mortgage Companies ,0
 OCWEN Loan Servicing LLC ,"  OCWEN Loan Servicing LLC  P.O. Box 785063  
Orlando, Florida USA ",, 18003337023,," We fell to the misfortune of losing our home to a forclosure that started back in 2007 in CA. We had 2 loans (1st and 2nd) when we initially purchased the home. The loans were interest only with a 2 year fixed. Once the first 2 years were over, we tried numerous times to refinance but came up empty due to the home losing value. The first mortgage company refused to work with us and instead of keeping the interest rate the same or lowering it for us, they instead increased it which raised our monthy payment over $700.00 per month. We could not afford thier increase so we became delinquent and did everything to re-finance. They refused to work with us to include accepting any offers that our realtor worked so hard to provide to them so we ended up losing the home. The 2nd mortgage company, OCWEN was also included in the foreclosure and realizing that they had no stand being a Jr. 2nd they closed down the account. The account had been closed on my credit report for 4 years and then in Nov of 2013 we started recieving letters from them that we not only owed them the inital amount, but we owed them over 70k in late charges. We did some research on this and found out that they have no recourse in CA for a purchase money loan/lien, plus in CA there is a 4 year statute of limitations in which they had surpassed. They continued to send us threatening letters and we finally sent them one asking them to stop sending us letters as we are no longer responsible for this debt and if they didn't stop we would file harassment charges against them. In Dec of 2013, I had put in for a small loan at my local credit union and when they advised me of my credit score I hit the roof. It had dropped drastically and I couldn't understand why so I pulled my credit report and found out that OCWEN had re-opened the loan stating that had acquired the servicing rights of the loan from LCS Financial Services Corporation on Nov 15, 2013. In other words, they transferred the account to another department within their company and are trying to state that since they moved and re-opened it, they are trying to collect the debt. They put this debt back on top of all 3 of my credit reports which shows an open balance of the initial amound borrowed plus all the late charges and shot my credit down the tubes that I had been working on rebuilding for over 6 1/2 years. This account is going to fall off my credit report this year, so re-opening this account did nothing for them. I currently have a dispute running with all 3 credit reporting agencies but knowing the reputation of this company, I would assume I will be waiting for this to drop off before they budge to report this as closed like it was and now should be. This company is corrupt, and I was so glad to read that when I filed a report against them with the BBB, that there is a federal investigation against them for millions of dollars. I am also hoping (after reading so many horror stories from others in reference to this company) that all the other individuals that they have ripped off, scammed, and lied to will be paid back in some way for their suffering as well assisted with their losses.   ",  Mortgage Companies ,0
