 American Family Newberg ,"  American Family Newberg  2855 Hayes St Ste 102 
Newberg, Oregon U.S.A. ",, 7659622006,"American Family Newberg Rip off!  High cost, crap service, over billing? Newberg Oregon","
										According to my records my family and I have over paid Am Fam this last year by 2 payments, however every month I get a passed due notice.  I believe this company has been ripping my family off for years.  Unfortunately it's too hard to switch companies. Ann is rude and is NEVER helpful.  The 20 peices of junk mail from them every month is enough to make you freak out!
Mommyof2
somewhere, OregonU.S.A.									",  Insurance Agencies ,1
 InsuranceLeadz ,"  InsuranceLeadz  309 S. 4th St., Ste. 212 
Columbus, Ohio U.S.A. ",, 775-786-3577,InsuranceLeadz Don't waste your money Columbus Ohio,"
										I had the same experience.  I was told that no more than two other agents would get the leads.  I called the leads right away, and by the time I got to them, they'd already received calls from at least four other agents, and he prospects were ticked off because 1) they were ambushed with calls, and 2) they had no idea their name was being sold.  Also, they put me on an automatic re-bill, when  I was told that I would reach the end of my first $100 and then have to direct them to re-bill.  What a waste of $300!  I'll never use them again.
Frank
Oak Park, IllinoisU.S.A.									",  Insurance Agencies ,1
 ADRIANAS INSURANCE ,"  ADRIANAS INSURANCE  HAVEN AVE, 
ONTARIO, California U.S.A. ",, 775-786-3577,ADRIANAS INSURANCE ALL OFFICES ADRIANAS INSURANCE IS COMMITTING INSURANCE SCAMS ONTARIO California,"
										This report is being written for the thousand or maybe hundreds of thousands of customers who were stooped into buying and are now insured through ADRIANAS Insurance. Beware of high prices. Make sure you understand what you are buying before you sign the insurance papers.
  Adrianas Insurance preys on the innocent people who do not have a license to drive but need to have insurance on their vehicle because they need it to go to work to support their families. Yes I am talking about latinos immigrants. That is her bread and butter. Especiall now that the economy is so bad. She charges them high fees and says they are getting the best coverage, when in reality she gets them on a liability insurance only.
Currently she has pending lawsuits because her ""INSURANCE AGENTS"" do not sign the insurance applications like they should and the reason they are not signing them is very simple, she has unlicensed, undocumented workers and managers working for her not only selling the insurance, but also underwriting the insurance policies. Thats right ILLEGAL ALLIENS. I know this because I was employed by this company at one time. 
This so called Insurance company is not an Insurance company but a broker. She has offices all over the Los Angeles area. Its really a shame what she is doing not only to the customers but to her employees also. Im surprised she has not been caught or fined, but the reason she has not been caught is because once again her employees are scared to speak out and report her to the department of insurance because of their legal status. And of course she takes advantage of that and treats her employees very unfairly.
 Currently she is one of the biggest agencies for insurance in California and is very very well known throughout the latino community. There is alot of advertisements on tv, radio, and hispanic magazines. They have a website, WWW.ADRIANASINSURANCE.COM, and they advertise zero down and low monthly payments for auto, commercial, motorcycle, rv, health and life insurance. Are you kidding me.Not many people know this,but It is illegal to not charge for insurance. So next time you are shopping around for an auto insurance think twice about where you shop, and help me in challenging the department of insurance to place harder guidelines on these companies.
Anonymous
fontana, CaliforniaU.S.A.									",  Insurance Agencies ,1
 Nationwide Insurance ,"  Nationwide Insurance  P.O. Box 147080, 
Gainesville, Florida U.S.A. ",, 775-786-3577,Nationwide Insurance If you cancel your policy with Nationwide they will create things to charge you for. Gainesville Florida,"
										Having had a business liability policy with Nationwide for the past 4 years I chose to drop them to get a good package rate for workers compensation and general liability with another company. Shorly after this I recieved a bill that stated that I owed them $851.00 as the result of an insuranse audit covering the period from 7/10/2007 to 7/10/2008. 
My insurance rate is based on the payroll and according to my records we owe them around $290.00. I have always paid them based on payroll but for some reason I was told that they charge a minimum amount covering the owner. I told them that this was odd that I had never been charged this before we cancelled with them. I also ask them to reveal in the policy where this is stated and was never given an answer. 
I feel that they invented this policy due to the fact that I cancelled with them and posibly due to they're $346.4 million dollar loss for the third quarter of 2007. I have auto insuranse with them now but will shortly be cancelling this as well. I will make up my losses by getting a cheaper auto policy. I hope to see a $346.4 BILLION loss for Nationwide in 2009.
Robert
Princeton, West VirginiaU.S.A.									",  Insurance Agencies ,1
 EverHome Mortage ,"  EverHome Mortage  2167 Beach Blvd 
Jacksonville, Florida U.S.A. ",, 775-786-3577,EverHome Mortage What about escrow? Jacksonville Florida,"
										In my escrow is payment for Life Insurance on my house.  I received  a ""notice of lapse"" from said Company and when I called them I was told that EverHome is not paying them.  I wonder if they are paying my takes and home owners insurance since these are in my escrow as well.
R. c. m.
Gulfport, MississippiU.S.A.",  Insurance Agencies ,1
 Direct Auto Insurance ,"  Direct Auto Insurance  2813 Business Park 
Memphis, Tennessee U.S.A. ",, 775-786-3577,Direct Auto Insurance direct insurance wants to rearend you again after their insured already did it once Memphis Tennessee,"
										march 17 2007 i was sitting at a red light.a four lane road did not stop this driver from driving into the trunk of my my new caddillic.even before it was tottaled direct insurance could not get an okay to even get me a rental car.fourty six days later i got my own through my insurance.they have paid nothing on my doctor bills.they helped invent the word underinsured.
i sued them in civil court for bad faith only to find out that a third party cant sue a insurance co.another $1000 dollars wasted to get justice.the judge informed me of the law but told their lawer it was their obligation to get a rental for me.the insurance law is made to protect the insurance companies not the victims.the law says you have to be insured but having $10k worth of insurance is same as being uninsured.
the laws need to be changed because all insurances are higher to help these companys keep all their moneys.they wait you out to get you to take nothing.ived emailed nashville three times last week only to be told that it is directs primary dutie to defend their insured.maybe i should have not been sitting at that red light.as time goes by i think they will be asking me to pay for the front of his car that rearended me.help get people in office to change the laws that protect direct insurance co. take advantage of the people that have to drive
Tommy ****
BLUFF CITY, TennesseeU.S.A.									",  Insurance Agencies ,1
 Edgewood Insurance ,"  Edgewood Insurance  1 City Blvd. W 
Orange, California U.S.A. ",, 775-786-3577,"Edgewood Insurance Unfairly Fires Employees and are Rude, Unethical, and Sexist Orange California","
										Do not do business with Edgewood Insurance. They are a terrible company with no integrity.   You can tell a lot about a company based on the people they employ and also on how they treat their employees. 
Their employees, for the most, are awful. Patty Aguayo is the Administrative Secretary. She talks about employees behind their backs and is rude to their faces. Those she is rude to have never done anything to her, but she singles them out  and treats them with no respect. She has a clique with a few other  ladies  in the office. If you are not in her little clique, you'll get laughed at, made fun of, and talked about. She is a bitch. 
Other ladies in the office are two-faced: they'll act nice when you're around, then talk about you behind your back. Other ladies basically ignore you, except when they are giving you dirty looks for no reason.
One of the worst people they have employed is Tom Donahue. I cannot believe this company lets him work there. He has absolutely no respect for women. He is a womanizer and completely obsessed with sex. He'll sleep with anything; and if you don't sleep with him fast enough, he'll ditch you.  I am shocked that this company would employ someone with no character, no morals, and no ethics.  And he is also known to charge a higher commission that most, so if clients go through another broker they'll likely be able to save some money.
The company has no integrity and no regard for the law. They purposely break the law. If someone gets hurt and has to take time off, while that person is away the company will rename the hurt persons position so the person doesn't have a job to come back to. And then they'll hire someone else to fill that position. Now their job still exists, the same duties are still there, it's just called something else and now someone else is doing it; and Patty and Management are open about it to employees: people who work there know exactly what's going on. It's outrageous, completely unethical behavior. I wouldn't want people like this or a company like this handling any of my accounts.
This is a terrible, unethical company with terrible, rude, unethical employees and should be avoided.
Helpful Person
Long Beach, CaliforniaU.S.A.									",  Insurance Agencies ,1
" HealthMarkets, Alliance For Affordable Services, Midwest Nat'l, Cornerstone America, Carl Grimshaw ","  HealthMarkets, Alliance For Affordable Services, Midwest Nat'l, Cornerstone America, Carl Grimshaw  9666 Businesspark Ave # 210 
San Diego, California U.S.A. ",, 775-786-3577,"HealthMarkets, AlliHealthMarkets, Alliance For Affordable Services, HealthMarkets, Alliance For Affordable Services, Midwest Nat'l, Cornerstone America, Carl Grimshaw Invited me in for an interview, then refused to interview me and others for age, sex, race. San Diego California","
										Carl Grimshaw from Alliance for Affordable Services, or HealthMarkets or Midwest National, or Cornerstone America (can't really figure out which is the parent company) sent me an email stating that he found my resume online and invited me in for an interview.  I walked in and was led to a room full of other people and realized that instead of a personal interview I'd have to view a long presentation. 
We were asked to place a copy of our resumes on the front table and I took a seat near the front.  Mr. Grimshaw spoke for roughly 40 minutes and I was actually interested in the opportunity and based off of my background felt I would be an excellent candidate.  He then stated that the next step would be for those not interested to leave, and that he would proceed with personal interviews of those who remained.  
Mr. Grimshaw then walked up to various people and shook there hands (including myself) and said thanks for coming.  I just thought he was being nice, but then realized after the others whose hands he shook were leaving, that he was basically stating he wasn't interested.  I was a little pissed off because what was he basing this on, looks?  
He surely didn't review my resume because it was on the table at the front of the room.  Then I realized every person that was remaining was male, and white.  Though I would have been an excellent fit with the firm, I surely don't want to work for a racist or bigoted company.  It's sad too because when you google any of the business names a bunch of terrible reports pop-up.
Kozand
San Diego, CaliforniaU.S.A.									",  Insurance Agencies ,1
" Consumer Driven Benefits Association ,CDBA, Charles Boyd, Wholesale Insurance Marketing Inc ","  Consumer Driven Benefits Association ,CDBA, Charles Boyd, Wholesale Insurance Marketing Inc  515 New Jersey St. Suite G 
Redlands, California U.S.A. ",, 775-786-3577,"Consumer Driven Benefits Association CDBA, Charles Boyd, Wholesale Insurance Marketing Inc Steals from his agents and his clients! Redlands California","
										It looks as if this company not only steals money from it's agents, but also it's clients! Does anyone want to do something about this?
Very Upset!
Very Upset
Blackwood, New JerseyU.S.A.									",  Insurance Agencies ,1
 Josh Docktor Insurance Services ,"  Josh Docktor Insurance Services   
Fort Lauderdale, Florida U.S.A. ",, 775-786-3577,"Josh Docktor Insurance Services Primarily Health Insurance Purchased a product, then did a reversal on his credit card Fort Lauderdale Florida","
										Mr. Josh Docktor purchased a marketing plan with us. (MCS) and after we got half way through the plan he did a reversal throught his credit card company and keep all the leads we sent him. He is a dishonest person and would not suggest doing business with him for anything
Gary
savannah, GeorgiaU.S.A.									",  Insurance Agencies ,1
 Mike Lentini ,"  Mike Lentini  talkwithmike.net 
Denton, Texas U.S.A. ",, 775-786-3577,Mike Lentini - Medical Insurance Direct - Talkwithmike.net What a JERK! Denton Texas,"
										Mr. Lentini is such a sleazeball. A few months ago, I went online requested a health insurance quote for myself.
Mr. Arrogance was one of the many agents who followed up.
I wanted a high deductible co-pay plan, and all would offer me was a 500 deductible plan. He went on to push what he wanted me to get. After I told him I didn't appreciate his approach, he called me an idiotic hick.
And after doing a google search on Mike Lentini, I come to find he is a dead beat dad as well!
Be careful if you are considering Mike Lentini as your insurance broker!
Buyer Beware!
P.S. The next day a very nice female agent called me and gave me what I wanted.
Beenburnedbefore
austin, TexasU.S.A.									",  Insurance Agencies ,1
 NAA - National Agents Alliance ,"  NAA - National Agents Alliance  1214 Turrentine Street 
Burlington, North Carolina U.S.A. ",, 775-786-3577,"NAA - National Agents Alliance, Breach of contract, excessive bank drafts after termination Burlington North Carolina","
										Your NAA contract or contracting is not worth the paper it is written on, they make up the rules to suit them. I was terminated over the phone, not in writing by normal mail as your contract says. I was terminated for doing exactly what my recruiter talked me into doing with my former employer. They want you to do all kinds of contracting before you leave your employer, but don't contract with some one else when you are with NAA. No where in your contract does it say you can be terminated instantly for any thing. 
When they terminate you they stop all your commission advances and you get paid a little bit every time some one pays their premium. They also continue to debit your account even though you try to discontinue all their little extras, they don't return calls even after several attemps, but they still debit your account. They tell you they refuse to release you from any contracts for 6 months, but you can continue to write business and let ever one in your upline continue to make money off you. 
Just when you think you have your new business all set up and you try to write some businees with one of the companies you find out it has been refused because they have now terminated your contract with that company, you can't transfer it now you have to re apply with another agency. What do you tell your client then? This company and it's people are ruthless and vengefull. Do your self a favor and walk away, they take half your commission and tell you not to believe what you read or hear about the real world.
K
Bonita Springs, FloridaU.S.A.									",  Insurance Agencies ,1
 CitiWide Lending Group ,"  CitiWide Lending Group  2207 Concord Pike #617 
Wilmington, Delaware U.S.A. ",, 775-786-3577,CitiWide Lending Group Company commits fraud against insurance agents Wilmington Delaware,"
										I received an unsolicited fax on 03/12/09 from Jackie Miller with CitiWide Lending Group. I then called CitiWide and was referred to Hubert David who said they have a referral lead program for insurance agents. Hubert David said the leads are people who need homeowners insurance in order to get their mortgage loan processed, he then faxed me information on the program which required authorization to debit my checking account. 
I researched CitiWide Lending Group and was unable to find any information that they are a licensed Mortgage Lender. According to the Delaware Department of State: Office of the State Bank Commissioner CitiWide Lending Group is not licensed in the state of Delaware.
I believe CitiWide Lending Group is attempting to defraud insurance agents by getting the agents bank account info and then deducting money under false pretense. They DO NOT have a license in the state of Delaware for mortgage loans, the business license that they do have was recently obtained as of 02/25/2009 which shows ownership by another name: New Castle Management & Consulting, LLC.
Tom
Van Nuys, CaliforniaU.S.A.									",  Insurance Agencies ,0
 Kuhne Insurance Agency ,"  Kuhne Insurance Agency  615 S. Semoran Blvd 
Orlando, Florida U.S.A. ",, 775-786-3577,Kuhne Insurance Agency Unethical business behaviour - cancelling all insurance policies when only 1 requested Orlando Florida,"
										I would advise not using Kuhne Insurance Agency. Mary Kuhne has been difficult at best in trying to carry on a business relationship in the insurance realm. Always seemed to be doing things in the insurance company's interest rather than her own customers. Her company provided both General Liability and Business Automobile insurance for us at a very substantial rate. We had questioned her on our rate and she always defended it. Recently we decided to ""shop"" our general liability and found a company for considerably less. After making sure we had the new coverage in place, we contacted Mary Kuhne to cancel our old policy. She responded by saying, I've cancelled your general liability policy per your request, but am also canceling your auto insurance policy as well. This we did not request. 
Her actions were similar to a snotty, spoiled brat - leaving us without insurance, even though our policy was paid and there have been no claims against us.
This type of behavior is what makes insurance agents look bad.
Harry
Mt Plymouth, FloridaU.S.A.									",  Insurance Agencies ,0
 Wes Staub Agency ,"  Wes Staub Agency  3845 N. Garland Ave., #300 
Garland, Texas U.S.A. ",, 775-786-3577,"Wes Staub Agency, An Allsate Agency is using the old bait-and-switch tactics to sell insurance Garland Texas","
										I received a flyer in the mail from Wes Staub Allstate Insurance Agency in Garland, Texas. The flyer was touting the fact that they could get my annual homeowner's insurance premium down to $529 per year with the replacement cost of my house at $151k.   The exact words in very large type were Your Annual Premium Rate Estimate - $529.27.  There was a disclaimer in tiny, almost unreadable print at the bottom stating this may not be the actual rate.
As I am currently paying $852 per year, this sounded too good to be true.  I called the agency on 03-13-09 and spoke to a girl named Daisy.  I gave her my information and she said she would get together an exact quote and call me back.  When she called back, she said my annual rate would be $1206 per year with a replacement cost of my house at only $149k.
I asked her what happened to the $529 per year rate it stated on their flyer.  She said that was just an estimate.  So the actual quote was over twice the amount of the estimate quoted on the flyer.  I spoke to owner Wes Staub and told him this was a bait-and-switch tactic and was dishonest.  He defended his advertising practice of luring potential customers into calling him with this deceptive advertising by saying I get some business off these flyers.
I told him this bait-and-switch advertising was dishonest and that they are intentionally misleading people into calling them by advertising a very low rate and then switching them to the real rate for their homeowner's policy.  Wes Staub was adamant about this business practice as being something that was acceptable to do.
I will be filing a compliant for deceptive advertising with the Texas State Board of Insurance and any other agencies I can think of. I would advise anyone not to do business with the Wes Staub Allstate Insurance Agency as Wes obviously feels it is OK to use the old bait-and-switch tactic on unsuspecting homowners.
Kentman
Carrollton, TexasU.S.A.									",  Insurance Agencies ,0
